Starting Nmap 7.95 ( https://nmap.org ) at 2025-02-26 10:23 EST
Initiating Parallel DNS resolution of 80 hosts. at 10:24
Completed Parallel DNS resolution of 80 hosts. at 10:24, 1.20s elapsed
Initiating SYN Stealth Scan at 10:24
Scanning 64 hosts [1000 ports/host]
Discovered open port 53/tcp on 167.86.43.39
Discovered open port 80/tcp on 167.86.43.39
Discovered open port 80/tcp on 167.86.43.40
Discovered open port 80/tcp on 167.86.43.42
Discovered open port 80/tcp on 167.86.43.68
Discovered open port 80/tcp on 66.22.80.117
Discovered open port 80/tcp on 66.6.29.162
Discovered open port 80/tcp on 167.86.43.43
Discovered open port 80/tcp on 167.86.43.71
Discovered open port 53/tcp on 66.22.80.121
Discovered open port 53/tcp on 66.22.56.145
Discovered open port 80/tcp on 66.22.30.155
Discovered open port 80/tcp on 167.86.43.69
Discovered open port 80/tcp on 66.22.80.121
Discovered open port 80/tcp on 66.22.56.145
Discovered open port 8080/tcp on 167.86.43.42
Discovered open port 8080/tcp on 167.86.43.68
Discovered open port 8080/tcp on 66.22.80.121
Discovered open port 53/tcp on 151.101.3.10
Discovered open port 53/tcp on 151.101.127.10
Discovered open port 53/tcp on 151.101.131.10
Discovered open port 53/tcp on 35.241.51.22
Discovered open port 53/tcp on 107.162.232.26
Discovered open port 53/tcp on 34.195.212.27
Discovered open port 53/tcp on 35.167.212.29
Discovered open port 53/tcp on 107.162.232.29
Discovered open port 53/tcp on 199.60.103.31
Discovered open port 53/tcp on 34.116.0.32
Discovered open port 80/tcp on 151.101.3.10
Discovered open port 80/tcp on 35.241.51.22
Discovered open port 80/tcp on 35.167.212.29
Discovered open port 80/tcp on 107.162.232.29
Discovered open port 80/tcp on 34.116.0.32
Discovered open port 80/tcp on 151.101.127.10
Discovered open port 80/tcp on 107.162.232.26
Discovered open port 80/tcp on 34.195.212.27
Discovered open port 80/tcp on 199.60.103.31
Discovered open port 80/tcp on 151.101.131.10
Discovered open port 8080/tcp on 151.101.3.10
Discovered open port 8080/tcp on 35.241.51.22
Discovered open port 8080/tcp on 35.167.212.29
Discovered open port 53/tcp on 66.22.30.155
Discovered open port 53/tcp on 167.86.43.71
Discovered open port 53/tcp on 66.22.80.117
Discovered open port 53/tcp on 66.6.29.162
Discovered open port 8080/tcp on 167.86.43.39
Discovered open port 8080/tcp on 34.116.0.32
Discovered open port 53/tcp on 104.16.242.118
Discovered open port 53/tcp on 34.117.211.53
Discovered open port 8080/tcp on 66.22.80.117
Discovered open port 80/tcp on 104.16.242.118
Discovered open port 53/tcp on 34.235.193.186
Discovered open port 53/tcp on 166.73.4.197
Discovered open port 53/tcp on 167.86.43.68
Discovered open port 80/tcp on 34.117.211.53
Discovered open port 53/tcp on 166.73.5.41
Discovered open port 8080/tcp on 167.86.43.43
Discovered open port 53/tcp on 54.158.149.68
Increasing send delay for 66.22.80.121 from 0 to 5 due to max_successful_tryno increase to 4
Discovered open port 53/tcp on 52.20.49.116
Increasing send delay for 167.86.43.39 from 0 to 5 due to max_successful_tryno increase to 4
Discovered open port 53/tcp on 167.86.43.40
Discovered open port 80/tcp on 166.73.4.197
Increasing send delay for 66.22.80.121 from 5 to 10 due to max_successful_tryno increase to 5
Discovered open port 53/tcp on 167.86.43.43
Discovered open port 53/tcp on 107.162.232.60
Discovered open port 8080/tcp on 167.86.43.71
Discovered open port 53/tcp on 34.98.98.114
Discovered open port 53/tcp on 66.22.85.187
Discovered open port 53/tcp on 44.239.130.219
Increasing send delay for 167.86.43.39 from 5 to 10 due to max_successful_tryno increase to 5
Increasing send delay for 66.22.30.155 from 0 to 5 due to max_successful_tryno increase to 4
Discovered open port 53/tcp on 166.73.4.196
Discovered open port 53/tcp on 34.208.110.218
Discovered open port 53/tcp on 3.233.108.250
Discovered open port 80/tcp on 66.22.85.187
Discovered open port 53/tcp on 166.73.4.194
Discovered open port 80/tcp on 44.239.130.219
Discovered open port 8080/tcp on 167.86.43.40
Discovered open port 80/tcp on 166.73.5.41
Discovered open port 53/tcp on 107.162.183.211
Discovered open port 80/tcp on 34.98.98.114
Discovered open port 53/tcp on 34.98.98.115
Discovered open port 80/tcp on 52.20.49.116
Increasing send delay for 167.86.43.43 from 0 to 5 due to max_successful_tryno increase to 4
Discovered open port 53/tcp on 23.222.17.238
Discovered open port 53/tcp on 34.36.255.254
Discovered open port 80/tcp on 35.201.74.249
Discovered open port 80/tcp on 3.233.108.250
Discovered open port 8080/tcp on 151.101.127.10
Discovered open port 8080/tcp on 34.195.212.27
Discovered open port 53/tcp on 66.22.56.35
Discovered open port 53/tcp on 23.185.0.4
Discovered open port 53/tcp on 166.73.5.57
Discovered open port 80/tcp on 107.162.232.60
Discovered open port 80/tcp on 54.158.149.68
Discovered open port 8080/tcp on 167.86.43.69
Discovered open port 80/tcp on 34.235.193.186
Discovered open port 53/tcp on 166.73.4.193
Discovered open port 80/tcp on 166.73.4.196
Discovered open port 80/tcp on 34.208.110.218
Discovered open port 80/tcp on 23.222.17.238
Discovered open port 80/tcp on 166.73.5.57
Discovered open port 8080/tcp on 66.6.29.162
Discovered open port 53/tcp on 35.162.157.209
Discovered open port 80/tcp on 34.36.255.254
Discovered open port 53/tcp on 166.73.5.37
Discovered open port 53/tcp on 100.20.128.48
Discovered open port 53/tcp on 107.162.232.80
Discovered open port 53/tcp on 166.73.4.195
Discovered open port 53/tcp on 104.17.73.206
Discovered open port 80/tcp on 66.22.56.35
Discovered open port 53/tcp on 166.73.5.53
Discovered open port 80/tcp on 166.73.4.193
Discovered open port 80/tcp on 107.162.183.211
Discovered open port 53/tcp on 54.201.176.250
Increasing send delay for 66.6.29.162 from 0 to 5 due to max_successful_tryno increase to 4
Discovered open port 8080/tcp on 199.60.103.31
Discovered open port 80/tcp on 166.73.5.37
Discovered open port 53/tcp on 34.117.18.56
Discovered open port 53/tcp on 107.162.232.63
Discovered open port 80/tcp on 104.17.73.206
Increasing send delay for 167.86.43.68 from 0 to 5 due to 11 out of 15 dropped probes since last increase.
Discovered open port 53/tcp on 107.162.183.213
Discovered open port 80/tcp on 100.20.128.48
Discovered open port 8080/tcp on 34.117.211.53
Discovered open port 80/tcp on 107.162.232.80
Discovered open port 80/tcp on 34.98.98.115
Discovered open port 8080/tcp on 66.22.56.145
Discovered open port 80/tcp on 166.73.4.195
Increasing send delay for 66.22.80.117 from 0 to 5 due to max_successful_tryno increase to 4
Discovered open port 80/tcp on 54.201.176.250
Discovered open port 53/tcp on 34.116.0.40
Discovered open port 80/tcp on 166.73.5.53
Discovered open port 80/tcp on 107.162.232.63
Discovered open port 53/tcp on 66.6.17.188
Discovered open port 80/tcp on 166.73.4.194
Discovered open port 80/tcp on 23.185.0.4
Discovered open port 53/tcp on 167.86.43.69
Discovered open port 80/tcp on 35.162.157.209
Discovered open port 8080/tcp on 66.22.30.155
Discovered open port 53/tcp on 13.56.104.203
Discovered open port 80/tcp on 66.6.17.188
Increasing send delay for 66.22.80.117 from 5 to 10 due to max_successful_tryno increase to 5
Discovered open port 80/tcp on 107.162.183.213
Discovered open port 80/tcp on 13.56.104.203
Discovered open port 53/tcp on 3.229.73.76
Discovered open port 8080/tcp on 151.101.131.10
Discovered open port 8080/tcp on 107.162.232.60
Discovered open port 8080/tcp on 35.201.74.249
Discovered open port 80/tcp on 34.116.0.40
Increasing send delay for 66.6.29.162 from 5 to 10 due to max_successful_tryno increase to 5
Discovered open port 8080/tcp on 166.73.4.193
Discovered open port 8080/tcp on 66.22.85.187
Increasing send delay for 66.6.29.162 from 10 to 20 due to max_successful_tryno increase to 6
Discovered open port 8080/tcp on 166.73.4.197
Discovered open port 8080/tcp on 104.17.73.206
Discovered open port 8080/tcp on 34.235.193.186
Discovered open port 8080/tcp on 66.6.17.188
Discovered open port 8080/tcp on 166.73.4.194
Discovered open port 53/tcp on 107.162.180.200
Discovered open port 8080/tcp on 34.208.110.218
Discovered open port 80/tcp on 107.162.180.200
Increasing send delay for 66.22.56.145 from 0 to 5 due to max_successful_tryno increase to 4
SYN Stealth Scan Timing: About 1.23% done; ETC: 11:06 (0:41:33 remaining)
Discovered open port 53/tcp on 100.20.32.41
Discovered open port 53/tcp on 142.251.41.51
Discovered open port 80/tcp on 34.117.18.56
Discovered open port 8080/tcp on 104.16.242.118
Discovered open port 8080/tcp on 54.201.176.250
Discovered open port 8080/tcp on 34.36.255.254
Discovered open port 8080/tcp on 166.73.4.195
Discovered open port 8080/tcp on 52.20.49.116
Increasing send delay for 66.22.30.155 from 5 to 10 due to max_successful_tryno increase to 5
Discovered open port 8080/tcp on 107.162.183.213
Discovered open port 8080/tcp on 166.73.4.196
Discovered open port 8080/tcp on 107.162.183.211
Discovered open port 8080/tcp on 3.233.108.250
Discovered open port 80/tcp on 142.251.41.51
Discovered open port 80/tcp on 3.229.73.76
Discovered open port 8080/tcp on 34.98.98.114
Discovered open port 8080/tcp on 107.162.232.26
Discovered open port 8080/tcp on 54.158.149.68
Discovered open port 8080/tcp on 35.162.157.209
Increasing send delay for 66.22.80.121 from 10 to 20 due to 11 out of 14 dropped probes since last increase.
Discovered open port 443/tcp on 66.22.80.121
Discovered open port 8080/tcp on 107.162.180.200
Increasing send delay for 66.6.17.188 from 0 to 5 due to max_successful_tryno increase to 4
Discovered open port 8080/tcp on 34.98.98.115
Discovered open port 8080/tcp on 23.185.0.4
Discovered open port 8080/tcp on 166.73.5.57
Increasing send delay for 66.22.56.145 from 5 to 10 due to max_successful_tryno increase to 5
Discovered open port 8080/tcp on 23.222.17.238
Discovered open port 443/tcp on 151.101.3.10
Discovered open port 8080/tcp on 166.73.5.41
Discovered open port 8080/tcp on 13.56.104.203
Discovered open port 8080/tcp on 107.162.232.29
Discovered open port 80/tcp on 100.20.32.41
Increasing send delay for 167.86.43.40 from 0 to 5 due to 11 out of 16 dropped probes since last increase.
Discovered open port 8080/tcp on 44.239.130.219
Discovered open port 8080/tcp on 166.73.5.53
Discovered open port 8080/tcp on 107.162.232.63
Increasing send delay for 167.86.43.71 from 0 to 5 due to 11 out of 20 dropped probes since last increase.
